,National_Total_LCTR_mK,,,,,,,,
情景,ssp126,,,ssp245,,,ssp585,,
场景,BAU,MTP,APD,BAU,MTP,APD,BAU,MTP,APD
年份,,,,,,,,,
2025,0.08281601760584399,0.08281601760584399,0.08281601760584399,0.08001441851878913,0.08001441851878913,0.08001441851878913,0.08547812983524093,0.08547812983524093,0.08547812983524093
2026,0.08723039533451661,0.08723039533451661,0.08717563771292633,0.08651859240097223,0.08651859240097223,0.08632236116679133,0.09049191207239954,0.09049191207239954,0.09036607218716877
2027,0.08745614166123332,0.08745614166123332,0.08727443514636768,0.08567670727690949,0.08567670727690949,0.08515272935636149,0.09293083078997047,0.09293083078997047,0.09274567071735991
2028,0.08835710425270626,0.08835710425270626,0.08806465303521448,0.08634147477921705,0.08634147477921705,0.08548254693875305,0.0932906753655451,0.0932906753655451,0.09289638554532746
2029,0.08446075083108896,0.08446075083108896,0.08371711880003027,0.08581666242761989,0.08581666242761989,0.08485510132932829,0.09006553348668593,0.09006553348668593,0.08935390935174224
2030,0.0817066368563245,0.0817066368563245,0.08058914427317435,0.08477480424329976,0.08477480424329976,0.08367989530402903,0.08879033996482526,0.08879033996482526,0.0878027153695075
2031,0.0806936011915943,0.0806936011915943,0.0792187264540615,0.08533710431661808,0.08533710431661808,0.08425457125693377,0.08663179991981901,0.08663179991981901,0.0852969942584701
2032,0.07797508951724937,0.07797508951724937,0.07638477562601141,0.08217854061675706,0.08217854061675706,0.08093320742295003,0.0835433528972349,0.0835433528972349,0.08186315403223142
2033,0.07700720426548999,0.07700720426548999,0.07527364456309374,0.08049476974481383,0.08049476974481383,0.07907395729536411,0.08197099594872116,0.08197099594872116,0.08025881304637363
2034,0.07546712346258745,0.07546712346258745,0.07336657008972557,0.08002392440560724,0.08002392440560724,0.07845505974630748,0.08049039477277209,0.08049039477277209,0.07853373011304617
2035,0.07134582728372885,0.07134582728372885,0.06824179581474603,0.07867606998910084,0.07867606998910084,0.07714515824445073,0.08079393674697138,0.08079393674697138,0.07905571172340245
2036,0.06816049289982733,0.06797130218151244,0.06500731426124534,0.07456717880777895,0.07446381334150586,0.07284442103656004,0.07791293311293673,0.07780923586057174,0.07618464557352066
2037,0.06505161495705285,0.06468926369168468,0.06203202107898463,0.07151975609142384,0.0713105253088669,0.06977616623678244,0.07118637130237686,0.07089150015401341,0.0687291117326812
2038,0.06391016537919361,0.06339188703715878,0.06103084125677799,0.06857050333254464,0.068199566470065,0.06650974298543537,0.06959516363331268,0.06915414850627735,0.06714507959422739
2039,0.06234501203442293,0.06164443680345134,0.05942594857204118,0.06619666140397948,0.0656051474069245,0.06373201974958374,0.06832919451299317,0.06772995056756093,0.0658323447403588
2040,0.06152544600773321,0.06064257700213485,0.05858254932240527,0.06481989895243129,0.06404447378026379,0.06223514837853961,0.06711459137997514,0.06636053291029437,0.06460106314770592
2041,0.0609871124406452,0.06003033041444403,0.05832938459008637,0.0616565088733548,0.06059072483381291,0.05869599765240519,0.06698750562206775,0.06609941558156583,0.06452058884289581
2042,0.06074500961103779,0.05962098164447492,0.0580687525477929,0.06069214435509714,0.05946515113860362,0.05777073193487445,0.06518728889943588,0.06402508299568754,0.06242013198574929
2043,0.05833413793449491,0.05697663741655117,0.05550601185544547,0.05852695938521484,0.05704959664409648,0.05544912034121824,0.06442326475594655,0.0630087978494066,0.06147645870065495
2044,0.05715061489390951,0.05562892833665538,0.05433267682492036,0.05904486212406515,0.05758871536840116,0.05634829405802071,0.06273797117507646,0.06106527496576854,0.05964038560228403
2045,0.05612590445008999,0.05441471020560388,0.05327391404261316,0.05569563582061238,0.05380861597144251,0.05255060273866258,0.05995256464639341,0.05781971403460754,0.05639781362675027
2046,0.05605865466021593,0.05435297414620022,0.05347429024504058,0.0532373648399995,0.0510543975037359,0.04992983857293343,0.05920930260321261,0.05694292130692197,0.05577539154822679
2047,0.05468357333894166,0.05273909450665609,0.05198290829410062,0.05213460692448889,0.0497794742802635,0.04886358936306476,0.06000633722166541,0.05779219658948612,0.05693114189919418
2048,0.0529233946721813,0.05065038225511958,0.05000927618876887,0.0509474666654064,0.04837672215531329,0.04765164037041523,0.05772807726126866,0.05516413031289314,0.05444096578899235
2049,0.05188417778865297,0.049404005191109,0.04893159136300541,0.0493963209688912,0.04645428750615187,0.04589390017991582,0.05847146804557226,0.05594651945111483,0.05546557686169436
2050,0.05038489520738571,0.04753304420594726,0.0472161718724541,0.04804117748851612,0.04472241524728651,0.04435366388714987,0.05728222546266368,0.05439535027253221,0.0540745863625176
